"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2017,27790239,1,27814052
2017,27790333,1,27814148
2017,27790402,1,27814218
2017,27790437,1,27814253
2017,27790475,1,27814291
2017,27791265,1,27815083
2017,27791263,1,27815082
2017,27791361,1,27815180
2017,27791590,7,27815408
2017,27791620,1,27815438
2017,27791702,1,27815520
2017,27791766,1,27815585
2017,27791770,1,27815589
2017,28925959,1,28951371
2017,28926360,1,28951772
2017,28926409,1,28951821
2017,28926411,1,28951823
2017,26719836,1,26740317
2017,26721066,1,26741547
2017,26721099,1,26741582
2017,26400969,1,26421072
2017,26401740,8,26421842
2017,26721338,3,26741821
2017,26721972,1,26742455
2017,26407902,1,26428009
2017,26409342,1,26429450
2017,26722509,1,26742992
2017,26722547,1,26743031
2017,26400809,1,26420909
2017,26400806,1,26420908
2017,27557751,1,27579725
2017,27557759,1,27579733
2017,27557791,1,27579765
2017,27557795,1,27579769
2017,27557796,1,27579770
2017,27557802,1,27579776
2017,27557803,1,27579777
2017,27557809,1,27579783
2017,27557855,1,27579829
2017,27785992,1,27809803
2017,27786028,1,27809839
2017,27786036,1,27809849
2017,27786338,1,27810150
2017,27787192,1,27811004
2017,27787485,1,27811298
2017,27788124,1,27811937
2017,27788918,1,27812732
2017,27789559,7,27813375
2017,27789574,7,27813390
2017,27790038,1,27813854
2017,27790182,1,27813999
2017,27790180,1,27813996
2017,27791014,7,27814832
2017,27791282,1,27815101
2017,27791344,1,27815162
2017,27791365,1,27815182
2017,27791587,1,27815405
2017,27791695,1,27815513
2017,27791712,1,27815530
2017,27791828,1,27815648
2017,27791889,1,27815709
2017,27791892,1,27815713
2017,27792584,1,27816405
2017,27793201,1,27817024
2017,27793298,1,27817114
2017,27793336,1,27817157
2017,27793339,1,27817160
2017,27793334,1,27817156
2017,27793951,1,27817774
2017,27793994,1,27817818
2017,27794340,1,27818164
2017,27794678,1,27818504
2017,27794721,1,27818546
2017,27795031,1,27818856
2017,27795552,1,27819380
2017,27795570,1,27819399
2017,27795829,1,27819659
2017,27796348,1,27820176
2017,26568155,1,26588440
