"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,99954114,113625407
2017,99954156,113625456
2017,99954770,113626087
2017,99954856,113626176
2017,99955244,113626563
2017,99955242,113626563
2017,99955342,113626648
2017,99955564,113626857
2017,99955599,113626892
2017,99962601,113633780
2017,99962599,113633785
2017,99962629,113633827
2017,99962739,113633939
2017,99962900,113634104
2017,99964091,113635263
2017,99964093,113635265
2017,99965516,113636635
2017,99965550,113636664
2017,99965544,113636658
2017,99965550,113636658
2017,99965688,113636818
2017,99965719,113636840
2017,99965744,113636870
2017,99965783,113636926
2017,99965858,113636992
2017,99966371,113637495
2017,99966374,113637506
2017,99966792,113637928
2017,99966865,113638015
2017,99966959,113638111
2017,99967079,113638215
2017,99967079,113638212
2017,99968087,113639219
2017,99466494,113132124
2017,99466624,113132268
2017,99466863,113132498
2017,99466884,113132513
2017,99466884,113132516
2017,99467153,113132790
2017,99467165,113132806
2017,99467167,113132809
2017,99467311,113132964
2017,99467357,113133012
2017,99467520,113133158
2017,99467520,113133161
2017,99467579,113133221
2017,99467985,113133633
2017,99468442,113134114
2017,99468843,113134531
2017,99468874,113134557
2017,99468942,113134615
2017,99469127,113134822
2017,99469128,113134824
2017,99469379,113135092
2017,99469591,113135308
2017,99469683,113135379
2017,99469677,113135381
2017,99469671,113135376
2017,99469665,113135376
2017,99470245,113135960
2017,99451231,113116569
2017,99451322,113116668
2017,99451438,113116784
2017,99451616,113116975
2017,99451720,113117084
2017,99451967,113117342
2017,99452306,113117660
2017,99452435,113117780
2017,99452541,113117895
2017,99452972,113118347
2017,99453184,113118569
2017,99453318,113118680
2017,99453313,113118683
2017,99453313,113118688
2017,99453546,113118911
2017,99453546,113118913
2017,99454211,113119613
2017,99454344,113119741
2017,99454514,113119937
2017,99954851,113626168
2017,99955610,113626904
2017,99955644,113626935
2017,99455354,113120805
2017,99455368,113120813
2017,99455367,113120813
2017,99455415,113120863
2017,99451187,113116531
2017,99451236,113116576
2017,99451402,113116753
2017,99931111,113602348
2017,99931211,113602451
2017,99931257,113602494
2017,99931340,113602573
2017,99931535,113602785
2017,101759260,115432970
2017,101759320,115433024
2017,101759381,115433082
2017,98897949,112561165
2017,103067658,116751891
2017,103068186,116752415
2017,103068227,116752455
2017,103068250,116752478
2017,103068314,116752543
2017,103068682,116752903
2017,103068967,116753195
2017,103069242,116753482
2017,103069371,116753611
2017,103069683,116753927
2017,103069760,116754003
2017,103069786,116754029
2017,103069810,116754056
2017,103845222,117535721
2017,103845220,117535725
2017,103845256,117535754
2017,103845944,117536437
2017,103845974,117536470
2017,103845989,117536475
2017,103846014,117536491
2017,103846042,117536535
2017,103846069,117536546
2017,103846061,117536546
2017,103846396,117536872
2017,103846497,117536950
2017,99477114,113142938
2017,99477676,113143512
2017,99477676,113143514
2017,99477717,113143559
2017,99477717,113143556
2017,99477717,113143552
2017,99477949,113143818
2017,99478998,113144882
2017,99479126,113145010
2017,99479144,113145031
2017,99479186,113145078
2017,99479208,113145100
2017,99984158,113655087
2017,99950719,113622018
2017,105404880,119114361
2017,105404886,119114361
2017,105404876,119114361
2017,105406773,119116190
2017,105407244,119116663
2017,105407616,119117073
2017,105407330,119116761
2017,105407683,119117156
2017,105407916,119117392
2017,105408246,119117736
2017,105408405,119117903
2017,105408548,119118066
2017,99473005,113138625
2017,99472989,113138625
2017,99473229,113138843
2017,99473229,113138853
2017,99474102,113139822
2017,99475581,113141362
2017,99475986,113141778
2017,99476098,113141890
2017,99477032,113142850
2017,99477035,113142857
2017,99477039,113142862
2017,99477065,113142888
2017,99477074,113142890
2017,99477108,113142934
2017,99477141,113142959
2017,99477139,113142956
2017,99468924,113134628
2017,99468963,113134660
2017,99469233,113134937
2017,99469477,113135197
2017,99470198,113135902
2017,99470594,113136315
2017,103857161,117548040
2017,103857159,117548042
2017,103857164,117548042
2017,103857172,117548051
2017,103857379,117548265
2017,103857379,117548270
2017,103857412,117548305
2017,103857402,117548294
2017,103857402,117548297
2017,103857481,117548382
2017,103857504,117548392
2017,103857506,117548410
2017,103068351,116752573
2017,103857518,117548427
2017,103857536,117548431
2017,103857533,117548431
2017,103857525,117548439
2017,103857661,117548563
2017,103857667,117548578
2017,103857666,117548572
2017,103857693,117548599
2017,103068677,116752897
2017,103857894,117548810
2017,103857933,117548841
2017,103068963,116753198
2017,103068965,116753198
2017,103069017,116753256
2017,103069054,116753274
2017,103069054,116753270
2017,103069238,116753478
2017,103069360,116753594
2017,103069406,116753646
2017,103069666,116753909
2017,103069702,116753946
2017,103069751,116753993
2017,103070223,116754471
2017,103070350,116754598
2017,102637227,116317540
2017,102637303,116317621
2017,102637754,116318061
2017,102637795,116318102
2017,102637905,116318226
2017,102637922,116318243
2017,102638096,116318423
2017,102638140,116318470
2017,102638258,116318596
2017,102638328,116318666
2017,102638379,116318714
2017,102638777,116319119
2017,102638777,116319118
2017,102638846,116319187
2017,102638842,116319187
2017,102639385,116319703
2017,102639592,116319890
2017,102639594,116319891
2017,102639662,116319959
2017,98894148,112557319
2017,99972562,113643619
2017,99972558,113643619
2017,99972555,113643619
2017,99972663,113643726
2017,99972710,113643787
2017,99972739,113643809
2017,99972784,113643849
2017,99973948,113645034
2017,99973994,113645071
2017,99974011,113645093
2017,99974062,113645140
2017,99974084,113645161
2017,99974622,113645689
2017,99443642,113108590
2017,99444418,113109394
2017,99444591,113109544
2017,99444822,113109791
2017,99445020,113110007
2017,99445191,113110188
2017,103051948,116735760
2017,103069850,116754101
2017,103069952,116754198
2017,103069953,116754192
2017,103069952,116754192
2017,103070212,116754453
2017,103070295,116754542
2017,103070345,116754595
2017,103070346,116754593
2017,103070357,116754593
2017,103070351,116754593
2017,103070732,116754991
2017,103071369,116755634
2017,99944566,113615918
2017,99944656,113616005
2017,99944691,113616044
2017,99944691,113616045
2017,99944720,113616053
2017,99944715,113616057
2017,99944720,113616052
2017,99944715,113616054
2017,99944932,113616281
2017,99944981,113616321
2017,99945049,113616378
2017,99945125,113616456
2017,99945136,113616471
2017,99945325,113616647
2017,99945379,113616690
2017,99945431,113616751
2017,99945483,113616805
2017,99945801,113617134
2017,99945819,113617143
2017,99945819,113617144
2017,99945979,113617322
2017,99951194,113622485
2017,99951413,113622710
2017,99951734,113623017
2017,99951856,113623139
2017,99951856,113623138
2017,99952275,113623566
2017,99952506,113623785
2017,99953308,113624595
2017,99953698,113625001
2017,99953973,113625256
2017,99953965,113625256
2017,103396989,117081646
2017,103397064,117081718
2017,103397158,117081810
2017,103397195,117081854
2017,103397335,117081979
2017,103397337,117081979
2017,103397339,117081996
2017,103397455,117082106
2017,103397469,117082122
2017,103397478,117082118
2017,103397478,117082115
2017,103397493,117082143
2017,103397531,117082186
2017,103397610,117082268
2017,103397610,117082270
2017,103397657,117082293
2017,103397700,117082354
2017,103397725,117082384
2017,103397752,117082402
2017,103397765,117082401
2017,99471502,113137199
2017,99474000,113139711
2017,99474081,113139804
2017,99474604,113140364
2017,99475132,113140880
2017,99475132,113140876
2017,99475184,113140928
2017,99475173,113140926
2017,99475530,113141299
2017,98892465,112555512
2017,98893649,112556773
2017,103403916,117088570
2017,103404194,117088843
2017,103404421,117089058
2017,103404436,117089062
2017,103404515,117089145
2017,103404520,117089144
2017,103404655,117089286
2017,103405093,117089715
2017,103405192,117089805
2017,103405194,117089805
2017,103405182,117089805
2017,103405547,117090164
2017,103405553,117090164
2017,103405555,117090172
2017,103405639,117090256
2017,103405716,117090313
2017,103405724,117090307
2017,103405724,117090305
2017,103405889,117090491
2017,103405958,117090553
2017,103406013,117090601
2017,103831748,117522018
2017,103831748,117522019
2017,103831744,117522017
2017,103832081,117522367
2017,102634169,116314453
2017,102634221,116314507
2017,102634781,116315081
2017,102634879,116315168
2017,102634899,116315187
2017,102634899,116315186
2017,102635482,116315770
2017,102635563,116315846
2017,102635563,116315847
2017,102635613,116315909
2017,102635613,116315912
2017,103832222,117522509
2017,103832531,117522823
2017,103832572,117522856
2017,103832617,117522909
2017,102635690,116315985
2017,102635734,116316039
2017,102636171,116316470
2017,102636284,116316598
2017,102636397,116316711
2017,102636395,116316711
2017,102636638,116316940
2017,102636727,116317031
2017,103832714,117523009
2017,102637003,116317311
2017,103832743,117523022
2017,102637334,116317661
2017,102637394,116317721
2017,102637608,116317908
2017,102637608,116317911
2017,102637647,116317950
2017,102637731,116318032
2017,102637814,116318118
2017,102637812,116318118
2017,102637886,116318200
2017,102638054,116318386
2017,103832784,117523077
2017,102638274,116318609
2017,102638292,116318637
2017,102638315,116318647
2017,102638321,116318645
2017,102638317,116318642
2017,102638517,116318853
2017,102639386,116319694
2017,102639386,116319695
2017,102639431,116319741
2017,103832833,117523140
2017,102639633,116319931
2017,102639685,116319983
2017,102639773,116320070
2017,102639917,116320228
2017,102639984,116320283
2017,102639972,116320283
2017,102639989,116320283
2017,102640021,116320333
2017,102640069,116320382
2017,102640104,116320414
2017,102640131,116320440
2017,103832830,117523133
2017,102640345,116320649
2017,102640361,116320669
2017,103832948,117523242
2017,103832948,117523244
2017,102640554,116320872
2017,102640563,116320872
2017,102640571,116320872
2017,102640670,116320988
2017,102640727,116321040
2017,102640759,116321078
2017,103833009,117523307
2017,102640898,116321213
2017,102640898,116321211
2017,102640975,116321289
2017,102641243,116321551
2017,102641280,116321598
2017,102641344,116321654
2017,102641423,116321735
