"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7927231,25924,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OKOHP1200_NIBRS",22299527,0
2017,7610583,15352,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OKDI15000_NIBRS",19470538,0
2017,7639769,15352,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OKDI15000_NIBRS",10708761,0
2017,7662894,15352,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OKDI15000_NIBRS",16855600,0
2017,7690822,15352,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OKDI15000_NIBRS",10708832,0
2017,7716730,15352,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OKDI15000_NIBRS",14071853,0
2017,7744174,15352,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OKDI15000_NIBRS",14071908,0
2017,7745246,15352,7,2017,"I",,"Y","G","C","2017_07_OKDI15000_NIBRS",16855633,0
2017,7795948,15352,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OKDI15000_NIBRS",19470582,0
2017,7814538,15352,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OKDI15000_NIBRS",21559811,0
2017,7815686,15352,10,2017,"I",,"Y","G","C","2017_10_OKDI15000_NIBRS",16855798,0
2017,7883351,15352,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OKDI15000_NIBRS",22299313,0
2017,7927215,15352,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OKDI15000_NIBRS",21559885,0
2017,7755206,26636,1,2017,"Z",01-JAN-01,"Y","F","C","2017_01_OK0761500_NIBRS",12101347,0
2017,7639733,26636,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0761500_NIBRS",14067664,0
2017,7662879,26636,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0761500_NIBRS",10705651,0
2017,7691102,26636,4,2017,"Z",01-APR-04,"Y","F","C","2017_04_OK0761500_NIBRS",9832122,0
2017,7716711,26636,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0761500_NIBRS",16852514,0
2017,7755211,26636,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0761500_NIBRS",16852555,0
2017,7950178,26636,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0761500_NIBRS",18698118,0
2017,7883332,26636,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0761500_NIBRS",16852654,0
2017,7814092,26636,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0761500_NIBRS",16852692,0
2017,7838195,26636,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0761500_NIBRS",16852781,0
2017,7883333,26636,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0761500_NIBRS",18097511,0
2017,7950181,26636,12,2017,"Z",01-DEC-12,"Y","F","C","2017_12_OK0761500_NIBRS",18698121,0
2017,7609289,25368,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0421200_NIBRS",14020319,0
2017,7638798,25368,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0421200_NIBRS",10674849,0
2017,7641604,25368,3,2017,"I",,"Y","G","C","2017_03_OK0421200_NIBRS",16815267,0
2017,7690674,25368,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0421200_NIBRS",16815310,0
2017,7692123,25368,5,2017,"I",,"Y","G","C","2017_05_OK0421200_NIBRS",19434333,0
2017,7743144,25368,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0421200_NIBRS",22261388,0
2017,7778739,25368,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0421200_NIBRS",13132560,0
2017,7795664,25368,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0421200_NIBRS",20154602,0
2017,7797154,25368,9,2017,"I",,"Y","G","C","2017_09_OK0421200_NIBRS",18053877,0
2017,7836521,25368,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0421200_NIBRS",25552391,0
2017,7839733,25368,11,2017,"I",,"Y","G","C","2017_11_OK0421200_NIBRS",21522258,0
2017,7925911,25368,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0421200_NIBRS",25552398,0
2017,7608918,14989,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0111000_NIBRS",8601589,0
2017,7637399,14989,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0111000_NIBRS",8601637,0
2017,7661494,14989,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0111000_NIBRS",8601675,0
2017,7691095,14989,4,2017,"Z",01-APR-04,"Y","F","C","2017_04_OK0111000_NIBRS",9831955,0
2017,7795482,14989,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0111000_NIBRS",13997264,0
2017,7744186,14989,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0111000_NIBRS",13997280,0
2017,7778702,14989,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0111000_NIBRS",13131132,0
2017,7795483,14989,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0111000_NIBRS",14625162,0
2017,7813224,14989,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0111000_NIBRS",15568172,0
2017,7835659,14989,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0111000_NIBRS",20128346,0
2017,7880945,14989,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0111000_NIBRS",18031806,0
2017,7925727,14989,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK0111000_NIBRS",20128393,0
2017,7609209,15095,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0361900_NIBRS",25548621,0
2017,7638390,15095,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0361900_NIBRS",19430653,0
2017,7661900,15095,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0361900_NIBRS",19430710,0
2017,7690641,15095,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0361900_NIBRS",13081446,0
2017,7716330,15095,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OK0361900_NIBRS",13081477,0
2017,7743116,15095,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OK0361900_NIBRS",14014249,0
2017,7778390,15095,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OK0361900_NIBRS",19430776,0
2017,7795625,15095,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0361900_NIBRS",16809479,0
2017,7610383,15287,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0671300_NIBRS",6876414,0
2017,7639557,15287,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0671300_NIBRS",7819939,0
