"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,21,116347507
2017,21,116347518
2017,21,116347546
2017,21,116347606
2017,21,116347730
2017,21,116347750
2017,21,116347882
2017,21,116347916
2017,21,116347933
2017,21,116348036
2017,21,116348133
2017,21,116348181
2017,21,116348246
2017,21,116348298
2017,21,116348332
2017,21,116348333
2017,21,116348400
2017,21,116348627
2017,21,116348626
2017,21,116348628
2017,21,116348703
2017,21,116348707
2017,21,116348745
2017,21,116348811
2017,21,116348845
2017,21,116349381
2017,21,116349369
2017,21,116349430
2017,21,116349435
2017,21,116349426
2017,21,116349422
2017,21,116349449
2017,21,116349456
2017,21,116349459
2017,21,116349566
2017,21,116349568
2017,21,116349584
2017,21,116349655
2017,21,116349692
2017,21,116349697
2017,21,113151960
2017,21,116729286
2017,21,116729292
2017,21,116729390
2017,21,116729445
2017,21,116729453
2017,21,116729550
2017,21,116729564
2017,21,116729575
2017,21,116729622
2017,21,116729623
2017,21,116729663
2017,21,116729678
2017,21,116729721
2017,21,116729730
2017,21,116729737
2017,21,116729774
2017,21,116729806
2017,21,116729818
2017,21,116729835
2017,21,116729838
2017,21,116729850
2017,21,116729865
2017,21,116729906
2017,21,116729990
2017,21,116730018
2017,21,117073370
2017,21,116730231
2017,21,116730244
2017,21,116730270
2017,21,117074097
2017,21,116730319
2017,21,116730309
2017,21,117074212
2017,21,117074255
2017,21,116730475
2017,21,116730561
2017,21,117074633
2017,21,116730635
2017,21,117074729
2017,21,117074921
2017,21,116730666
2017,21,117074910
2017,21,117074973
2017,21,117074969
2017,21,116730873
2017,21,117075356
2017,21,116730920
2017,21,116730923
2017,21,117075591
2017,21,117075622
2017,21,116730973
2017,21,116730981
2017,21,117075956
2017,21,116731077
2017,21,116731084
2017,21,116731116
2017,21,116731114
2017,21,116731150
2017,21,116731163
2017,21,117076153
2017,21,116731239
2017,21,116731242
2017,21,117076157
2017,21,117076261
2017,21,116731329
2017,21,116731388
2017,21,116731471
2017,21,116731470
2017,21,116731539
2017,21,116731606
2017,21,116731614
2017,21,116731622
2017,21,116731658
2017,21,116731693
2017,21,116731698
2017,21,116731697
2017,21,116731703
2017,21,116731707
2017,21,117077175
2017,21,116731752
2017,21,116731757
2017,21,116731755
2017,21,116731778
2017,21,116731776
2017,21,116731816
2017,21,116732014
2017,21,116732119
2017,21,116732322
2017,21,116732320
2017,21,116732349
2017,21,116732353
2017,21,116732378
2017,21,116732420
2017,21,116732437
2017,21,116732457
2017,21,116732455
2017,21,116732477
2017,21,116732478
2017,21,116732498
2017,21,116732534
2017,21,116732581
2017,21,116732582
2017,21,116732597
2017,21,116732595
2017,21,116732626
2017,21,116732647
2017,21,116732666
2017,21,116732665
2017,21,116732686
2017,21,116732688
2017,21,116732727
2017,21,116732963
2017,21,116732985
2017,21,116733017
2017,21,116733056
2017,21,116733188
2017,21,116733233
2017,21,116733322
2017,21,116733325
2017,21,116733421
2017,21,116733428
2017,21,117077724
2017,21,116733475
2017,21,117077722
2017,21,117077739
2017,21,116733679
2017,21,116733708
2017,21,116733697
2017,21,116733764
2017,21,116733810
2017,21,116733825
2017,21,116733858
2017,21,116733883
2017,21,116733886
2017,21,116733898
2017,21,116733959
2017,21,116733994
2017,21,116733992
2017,21,117077917
2017,21,116734215
2017,21,116734221
2017,21,116734230
2017,21,116734356
2017,21,116734353
2017,21,117548820
2017,21,116732657
2017,21,116732655
2017,21,116732687
2017,21,116732811
2017,21,116732969
2017,21,116733069
2017,21,117549612
2017,21,116733181
2017,21,116733194
2017,21,116733237
2017,21,117549611
2017,21,117549629
2017,21,117549662
2017,21,117549660
2017,21,116734059
2017,21,116734066
2017,21,117549694
2017,21,116734143
2017,21,116734610
2017,21,116734614
2017,21,116734640
2017,21,116734636
2017,21,116734712
2017,21,116734741
2017,21,116734739
2017,21,116734754
2017,21,117549696
2017,21,116734913
2017,21,116734993
2017,21,116735072
2017,21,116735101
2017,21,116735114
2017,21,116735205
2017,21,117549834
2017,21,116735337
2017,21,117549833
2017,21,117550039
2017,21,117550145
2017,21,116735396
2017,21,117550142
2017,21,117550241
2017,21,117550243
2017,21,116735638
2017,21,116735713
2017,21,116735725
2017,21,116735763
2017,21,116735818
2017,21,116735823
2017,21,116735890
2017,21,116735936
2017,21,116736139
2017,21,116736145
2017,21,116736151
2017,21,116736172
2017,21,116736194
2017,21,116736214
2017,21,116736245
2017,21,116736267
2017,21,116736280
2017,21,116736311
2017,21,116736331
2017,21,116736347
2017,21,117550918
2017,21,116736389
2017,21,117550991
2017,21,116736403
2017,21,116736413
2017,21,116736412
2017,21,116736436
2017,21,116736437
2017,21,116736441
2017,21,117550994
2017,21,116736499
2017,21,116736532
2017,21,116736517
2017,21,116736521
2017,21,116736635
2017,21,116736644
2017,21,117551240
2017,21,117551309
2017,21,116736840
2017,21,116736838
2017,21,117551365
2017,21,116736878
2017,21,116736920
2017,21,116736914
2017,21,117551367
2017,21,117551362
2017,21,116736999
2017,21,116737120
2017,21,117551930
2017,21,116737109
2017,21,116737163
2017,21,116737246
2017,21,116737272
2017,21,117551923
