"year","state_id","state_abbr","state_name","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","caveats"
2006,15,"HI","Hawaii",1285498,3608,21,353,,1144,2090,54247,8724,37784,7739,""
2007,15,"HI","Hawaii",1283388,3544,24,377,,1122,2021,52866,9089,37494,6283,""
2008,15,"HI","Hawaii",1288198,3510,26,363,,1085,2036,45944,9404,31424,5116,""
2009,15,"HI","Hawaii",1295178,3550,23,385,,1030,2112,47516,9244,33415,4857,""
2010,15,"HI","Hawaii",1363359,3603,25,377,,1065,2136,45667,8706,31681,5280,""
2011,15,"HI","Hawaii",1378129,3465,20,353,,994,2098,43874,8165,31240,4469,""
2012,15,"HI","Hawaii",1390090,3378,21,279,,1125,1953,43419,7653,31901,3865,""
2013,15,"HI","Hawaii",1408987,3585,32,366,508,934,2111,45266,7777,32928,4561,""
2014,15,"HI","Hawaii",1420257,3362,20,388,548,952,1842,46022,7470,33003,5549,""
2015,15,"HI","Hawaii",1431603,4201,19,561,400,1203,2418,54346,6557,42010,5779,""
2016,15,"HI","Hawaii",1428683,3452,35,619,601,985,1831,42353,5983,30871,5499,""
2017,15,"HI","Hawaii",1427538,3577,39,0,567,1077,1894,40392,5549,29574,5269,""
1995,16,"IA","Iowa",2842000,10071,51,619,,1507,7894,106504,21527,78645,6332,""
1996,16,"IA","Iowa",2852000,7771,53,561,,1286,5871,96296,18954,71893,5449,""
1997,16,"IA","Iowa",2852000,8841,52,579,,1593,6617,99986,22003,71301,6682,""
1998,16,"IA","Iowa",2862000,8916,54,728,,1456,6678,91272,19282,66016,5974,""
1999,16,"IA","Iowa",2869413,8034,43,780,,1051,6160,84463,17012,62316,5135,""
2000,16,"IA","Iowa",2926324,7796,46,676,,1071,6003,86834,16342,65118,5374,""
2001,16,"IA","Iowa",2931967,7865,50,649,,1154,6012,88634,16885,66244,5505,""
2002,16,"IA","Iowa",2935840,8388,44,797,,1169,6378,92877,18643,68411,5823,""
2003,16,"IA","Iowa",2941976,8175,50,796,,1131,6198,87554,17515,64400,5639,""
2004,16,"IA","Iowa",2952904,8499,44,782,,1160,6513,85775,17928,62214,5633,""
2005,16,"IA","Iowa",2965524,8697,40,847,,1153,6657,84370,18147,60723,5500,""
2006,16,"IA","Iowa",2982085,8521,55,871,,1309,6286,84202,18160,60998,5044,""
2007,16,"IA","Iowa",2988046,8970,39,970,,1328,6633,79133,17176,57018,4939,""
2008,16,"IA","Iowa",3002555,8651,77,937,,1249,6388,73273,16598,52299,4376,""
2009,16,"IA","Iowa",3007856,8485,38,890,,1201,6356,70080,16419,49757,3904,""
2010,16,"IA","Iowa",3050202,8191,38,883,,1012,6258,68740,16746,48194,3800,""
2011,16,"IA","Iowa",3064097,7883,44,866,,824,6149,72043,17573,50472,3998,""
2012,16,"IA","Iowa",3075039,8167,49,901,,962,6255,70357,17201,49116,4040,""
2013,16,"IA","Iowa",3092341,8443,41,873,1133,937,6332,67976,15918,47803,4255,""
2014,16,"IA","Iowa",3109481,8484,60,829,1150,1047,6227,65100,14363,46594,4143,""
2015,16,"IA","Iowa",3121997,8619,73,877,1205,1050,6291,64688,14977,45328,4383,""
2016,16,"IA","Iowa",3130869,9170,73,1247,1278,1150,6669,65888,15306,45580,5002,""
2017,16,"IA","Iowa",3145711,9230,104,0,1234,1253,6639,66855,15078,46198,5579,""
1995,17,"ID","Idaho",1163000,3745,48,330,,279,3088,47444,9069,35560,2815,""
1996,17,"ID","Idaho",1189000,3177,43,313,,241,2580,44532,8431,33872,2229,""
1997,17,"ID","Idaho",1210000,3107,39,350,,237,2481,44388,9175,32784,2429,""
1998,17,"ID","Idaho",1229000,3468,36,386,,264,2782,42185,8518,31385,2282,""
1999,17,"ID","Idaho",1251700,3066,25,417,,223,2401,36363,7641,26824,1898,""
2000,17,"ID","Idaho",1293953,3267,16,384,,223,2644,37961,7330,28545,2086,""
2001,17,"ID","Idaho",1320585,3211,30,425,,245,2511,38181,7507,28285,2389,""
2002,17,"ID","Idaho",1343124,3419,36,497,,240,2646,39128,7441,29060,2627,""
2003,17,"ID","Idaho",1367034,3362,26,535,,245,2556,40042,7837,29559,2646,""
2004,17,"ID","Idaho",1395140,3452,31,594,,241,2586,38799,7671,28389,2739,""
2005,17,"ID","Idaho",1429367,3670,35,577,,266,2792,38556,8066,27606,2884,""
2006,17,"ID","Idaho",1466465,3666,35,611,,294,2726,35135,7545,25154,2436,""
2007,17,"ID","Idaho",1499402,3841,49,607,,243,2942,34124,7131,24727,2266,""
2008,17,"ID","Idaho",1523816,3680,23,579,,239,2839,31940,6748,23532,1660,""
2009,17,"ID","Idaho",1545801,3805,24,575,,254,2952,31220,6682,23066,1472,""
2010,17,"ID","Idaho",1571102,3464,22,533,,213,2696,31436,6513,23594,1329,""
2011,17,"ID","Idaho",1583744,3202,35,444,,188,2535,32875,6915,24629,1331,""
2012,17,"ID","Idaho",1595590,3348,30,495,,243,2580,31825,7240,23203,1382,""
2013,17,"ID","Idaho",1612843,3471,29,516,674,220,2548,30230,6693,21999,1538,""
2014,17,"ID","Idaho",1634806,3439,32,463,645,203,2559,30440,6466,22297,1677,""
2015,17,"ID","Idaho",1652828,3593,32,508,703,191,2667,28912,6124,20916,1872,""
2016,17,"ID","Idaho",1680026,3876,49,719,719,213,2895,29357,6318,20962,2077,""
2017,17,"ID","Idaho",1716943,3888,32,0,707,196,2953,28079,5655,20278,2146,""
1995,18,"IL","Illinois",11830000,117836,1221,4313,,39139,73163,527572,108555,357143,61874,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1996,18,"IL","Illinois",11847000,105482,1179,4548,,33106,66649,524777,108185,358515,58077,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1997,18,"IL","Illinois",11896000,102476,1096,4415,,33123,63842,509113,103550,350140,55423,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1998,18,"IL","Illinois",12045000,97291,1008,4095,,29927,62261,487915,97792,337191,52932,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
1999,18,"IL","Illinois",12128370,83621,939,4297,,26365,52020,463939,86317,320954,56668,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2000,18,"IL","Illinois",12419293,81196,898,3926,,25641,50731,445278,81850,313161,50267,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2001,18,"IL","Illinois",12520227,79270,982,4010,,24931,49347,434648,79158,306757,48733,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2002,18,"IL","Illinois",12586447,75759,961,4370,,25314,45114,430479,81440,304227,44812,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2003,18,"IL","Illinois",12649087,70376,895,4189,,23786,41506,415885,78345,295907,41633,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2004,18,"IL","Illinois",12712016,69365,780,4220,,22582,41783,403486,76088,287025,40373,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2005,18,"IL","Illinois",12765427,70496,770,4313,,23255,42158,394670,77635,277662,39373,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
2006,18,"IL","Illinois",12831970,69498,780,4078,,23782,40858,387478,77259,272578,37641,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006."
2007,18,"IL","Illinois",12852548,68528,752,4103,,23100,40573,377322,75524,267911,33887,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2007"
2008,18,"IL","Illinois",12901563,67780,790,4118,,24054,38818,378355,78968,266815,32572,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2008"
2009,18,"IL","Illinois",12910409,64185,773,3901,,22923,36588,353347,77850,248821,26676,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2009"
2010,18,"IL","Illinois",12841980,57132,704,3066,,20386,32976,349064,77472,242681,28911,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2010"
2011,18,"IL","Illinois",12859752,54523,781,3030,,20217,30495,344468,77719,237362,29387,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2011"
2012,18,"IL","Illinois",12868192,53556,770,3581,,19480,29725,332706,71100,235314,26292,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2012"
2013,18,"IL","Illinois",12890552,51956,722,3895,5340,17733,28161,296048,59093,216059,20896,"The state UCR Program was unable to provide 1985-2013 forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2013"
2014,18,"IL","Illinois",12882189,47775,690,3182,4329,15271,27485,269647,50759,201003,17885,""
2015,18,"IL","Illinois",12839047,49755,754,3602,4926,15056,29019,256962,46846,192424,17692,""
2016,18,"IL","Illinois",12835726,56054,1061,4908,5003,17829,32161,263256,48193,195196,19867,""
2017,18,"IL","Illinois",12802023,56180,997,0,5556,17567,32060,257497,43459,193157,20881,""
1995,19,"IN","Indiana",5803000,30451,466,1930,,7844,20211,238317,47676,163618,27023,""
1996,19,"IN","Indiana",5841000,31366,420,1992,,7249,21705,231376,45782,160777,24817,""
1997,19,"IN","Indiana",5864000,30179,430,1928,,7763,20058,231723,48182,158442,25099,""
1998,19,"IN","Indiana",5899000,25423,454,1952,,6561,16456,220529,46552,152790,21187,""
1999,19,"IN","Indiana",5942901,22261,391,1607,,6496,13767,201547,42463,138794,20290,""
2000,19,"IN","Indiana",6080485,21230,352,1759,,6282,12837,206905,41108,144707,21090,""
2001,19,"IN","Indiana",6126743,22734,413,1716,,7171,13434,211548,42758,147291,21499,""
2002,19,"IN","Indiana",6156913,22001,362,1843,,6612,13184,208965,42605,146073,20287,""
2003,19,"IN","Indiana",6199571,21842,338,1720,,6401,13383,208039,41582,145686,20771,""
2004,19,"IN","Indiana",6226537,20294,316,1803,,6373,11802,211929,42168,148670,21091,""
2005,19,"IN","Indiana",6266019,20302,356,1856,,6809,11281,216778,43756,151278,21744,""
2006,19,"IN","Indiana",6313520,20303,361,1811,,7175,10956,217783,45538,150655,21590,""
2007,19,"IN","Indiana",6345289,21310,350,1738,,7845,11377,213887,46485,147999,19403,""
2008,19,"IN","Indiana",6376792,21525,322,1711,,7580,11912,213639,48805,147334,17500,""
2009,19,"IN","Indiana",6423113,21455,312,1621,,7347,12175,199907,48880,137190,13837,""
2010,19,"IN","Indiana",6490622,20983,268,1760,,6559,12396,199274,48570,137204,13500,""
2011,19,"IN","Indiana",6516353,21619,306,1758,,6977,12578,206016,50571,140630,14815,""
2012,19,"IN","Indiana",6537782,22544,307,1661,,6601,13975,197994,47689,136668,13637,""
2013,19,"IN","Indiana",6570713,23627,357,1623,2241,7114,13915,187472,42754,130534,14184,""
2014,19,"IN","Indiana",6597880,24105,333,1608,2197,6894,14681,174909,36909,124144,13856,""
2015,19,"IN","Indiana",6612768,25373,370,1757,2386,7081,15536,171878,34404,123940,13534,""
2016,19,"IN","Indiana",6634007,26516,431,2501,2449,7291,16345,168460,33567,120454,14439,""
2017,19,"IN","Indiana",6666818,26598,397,0,2625,6600,16976,161132,30140,115591,15401,""
1995,20,"KS","Kansas",2565000,10792,159,938,,2775,6920,114558,27404,78855,8299,""
1996,20,"KS","Kansas",2572000,10642,170,1096,,2476,6900,109772,25239,78145,6388,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program."
1997,20,"KS","Kansas",2595000,11151,150,1179,,2535,7287,122553,24292,91823,6438,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program."
1998,20,"KS","Kansas",2629000,10972,173,1128,,2287,7384,117114,24984,85329,6801,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division."
1999,20,"KS","Kansas",2654052,10159,160,1065,,2047,6887,107644,21874,79722,6048,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located."
2000,20,"KS","Kansas",2688418,10470,169,1022,,2048,7231,108057,21484,80077,6496,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."
2001,20,"KS","Kansas",2702125,10909,92,945,,2423,7449,105537,20514,77038,7985,""
2002,20,"KS","Kansas",2711769,10229,78,1035,,2165,6951,100768,19679,73877,7212,""
2003,20,"KS","Kansas",2724786,10831,125,1085,,2247,7374,109276,21973,79471,7832,""
2004,20,"KS","Kansas",2733697,10330,122,1142,,1812,7254,109771,20146,81115,8510,""
2005,20,"KS","Kansas",2748172,10701,101,1098,,1795,7707,104588,19028,76222,9338,""
2006,20,"KS","Kansas",2764075,11960,125,1279,,1878,8678,104260,20086,75450,8724,""
2007,20,"KS","Kansas",2775997,12730,106,1287,,2022,9315,102961,20461,73900,8600,""
2008,20,"KS","Kansas",2802134,11554,113,1226,,1681,8534,94882,19651,67826,7405,""
2009,20,"KS","Kansas",2818747,11460,125,1179,,1786,8370,90930,19473,65499,5958,""
2010,20,"KS","Kansas",2859143,10602,97,1146,,1538,7821,89109,19315,63774,6020,""
2011,20,"KS","Kansas",2870386,10209,111,1122,,1448,7528,88655,18712,63259,6684,""
2012,20,"KS","Kansas",2885398,10292,85,1105,,1493,7609,91066,18874,65413,6779,""
2013,20,"KS","Kansas",2895801,9928,117,1003,1295,1339,7177,85704,17476,61557,6671,""
2014,20,"KS","Kansas",2902507,10235,92,1066,1483,1361,7299,80029,15921,57169,6939,""
2015,20,"KS","Kansas",2906721,11483,126,1226,1684,1823,7850,80059,15619,57435,7005,""
2016,20,"KS","Kansas",2907731,11665,132,1312,1618,1757,8158,82293,14759,60119,7415,""
2017,20,"KS","Kansas",2913123,12030,160,0,1627,1785,8458,81593,13931,59816,7846,""
1995,21,"KY","Kentucky",3860000,14079,276,1231,,4001,8571,115298,28389,76906,10003,""
1996,21,"KY","Kentucky",3884000,12448,228,1230,,3643,7347,110531,26736,73653,10142,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total."
1997,21,"KY","Kentucky",3908000,12386,228,1304,,3546,7308,109819,26638,73487,9694,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1998,21,"KY","Kentucky",3936000,12909,237,1107,,3468,8097,109721,27998,71971,9752,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1999,21,"KY","Kentucky",3960825,12212,203,1148,,3104,7757,104768,25180,70719,8869,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located."
2000,21,"KY","Kentucky",4041769,11903,193,1091,,3256,7363,107723,25308,73141,9274,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located."
2001,21,"KY","Kentucky",4068816,10510,181,1051,,3269,6009,107356,26964,71448,8944,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division."
2002,21,"KY","Kentucky",4089822,11101,191,1087,,3131,6692,108590,26891,72378,9321,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate."
2003,21,"KY","Kentucky",4118189,10232,181,1124,,3224,5703,103370,26034,69083,8253,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate."
2004,21,"KY","Kentucky",4141835,10152,236,1238,,3268,5410,105209,25902,70535,8772,""
2005,21,"KY","Kentucky",4172608,11134,190,1421,,3690,5833,105608,26458,70354,8796,""
2006,21,"KY","Kentucky",4206074,11361,173,1312,,3850,6026,109428,27867,72197,9364,""
2007,21,"KY","Kentucky",4241474,12329,206,1365,,4068,6690,107987,27820,71489,8678,""
2008,21,"KY","Kentucky",4269245,12690,201,1457,,4080,6952,114492,29556,77279,7657,""
2009,21,"KY","Kentucky",4314113,11000,184,1531,,3642,5643,108914,29880,72938,6096,""
2010,21,"KY","Kentucky",4347223,10604,188,1438,,3748,5230,111170,30443,74488,6239,""
2011,21,"KY","Kentucky",4366814,10465,151,1499,,3705,5110,119037,32750,79586,6701,""
2012,21,"KY","Kentucky",4379730,9852,201,1312,,3547,4792,112800,29877,76199,6724,""
2013,21,"KY","Kentucky",4399583,9280,172,951,1646,3247,4215,104448,26331,72048,6069,""
2014,21,"KY","Kentucky",4412617,9495,164,1098,1556,3343,4432,99909,23426,70108,6375,""
2015,21,"KY","Kentucky",4424611,9887,219,1165,1644,3314,4710,97545,22526,67143,7876,""
2016,21,"KY","Kentucky",4436113,10452,265,1641,1748,3371,5068,97713,20932,66833,9948,""
2017,21,"KY","Kentucky",4454189,10056,263,0,1661,2958,5174,94833,20195,64394,10244,""
1995,22,"LA","Louisiana",4342000,43741,740,1855,,11662,29484,246132,53481,166667,25984,""
1996,22,"LA","Louisiana",4351000,40426,762,1805,,12036,25823,257130,56379,173271,27480,""
1997,22,"LA","Louisiana",4352000,37248,682,1799,,10407,24360,243423,53935,163114,26374,""
1998,22,"LA","Louisiana",4369000,34057,560,1609,,8651,23237,232378,51210,157507,23661,""
1999,22,"LA","Louisiana",4372035,32033,468,1448,,7591,22526,219219,47775,149749,21695,""
2000,22,"LA","Louisiana",4468976,30440,560,1497,,7532,20851,211904,46289,144345,21270,""
2001,22,"LA","Louisiana",4470368,30678,501,1403,,7864,20910,207693,46451,139555,21687,""
2002,22,"LA","Louisiana",4476192,29690,593,1529,,7123,20445,198838,45350,133302,20186,""
2003,22,"LA","Louisiana",4493665,28622,584,1601,,7008,19429,193698,44572,129471,19655,""
2004,22,"LA","Louisiana",4506685,28844,574,1616,,6564,20090,199153,45359,134080,19714,""
2005,22,"LA","Louisiana",4507331,26889,450,1421,,5337,19681,166611,39382,112840,14389,""
2006,22,"LA","Louisiana",4287768,30923,555,1587,,5928,22853,174975,46703,112605,15667,""
2007,22,"LA","Louisiana",4293204,31789,625,1427,,6316,23421,180516,46932,118291,15293,""
2008,22,"LA","Louisiana",4410796,29613,544,1250,,6241,21578,171179,45524,112091,13564,""
2009,22,"LA","Louisiana",4492076,28878,529,1351,,6150,20848,172619,46928,114102,11589,""
2010,22,"LA","Louisiana",4545343,25241,500,1230,,5297,18214,165667,45437,110260,9970,""
2011,22,"LA","Louisiana",4574766,25373,506,1262,,5235,18370,168529,46242,113174,9113,""
2012,22,"LA","Louisiana",4602134,22839,489,1155,,5458,15737,162673,42037,112764,7872,""
2013,22,"LA","Louisiana",4629284,24127,494,1248,1763,5539,16331,165679,41214,115300,9165,""
2014,22,"LA","Louisiana",4648990,23983,476,981,1382,5725,16400,161192,38541,113251,9400,""
2015,22,"LA","Louisiana",4668960,25202,492,1246,1733,5561,17416,157708,35457,112520,9731,""
2016,22,"LA","Louisiana",4686157,26477,555,1816,1819,5575,18528,154511,34689,109492,10330,""
2017,22,"LA","Louisiana",4684333,26092,582,0,1867,5358,18285,157712,34265,112485,10962,""
1995,23,"MA","Massachusetts",6074000,41739,217,1759,,9137,30626,221971,49669,135586,36716,""
1996,23,"MA","Massachusetts",6092000,39122,157,1767,,7778,29420,194636,42896,119562,32178,""
1997,23,"MA","Massachusetts",6118000,39411,119,1647,,6676,30969,185437,40491,115494,29452,""
1998,23,"MA","Massachusetts",6147000,38192,124,1687,,5938,30443,173011,37333,109275,26403,""
1999,23,"MA","Massachusetts",6175169,34023,122,1663,,5931,26307,167437,32964,108845,25628,""
2000,23,"MA","Massachusetts",6349097,30230,125,1696,,5815,22594,161901,30600,105425,25876,""
2001,23,"MA","Massachusetts",6401164,30585,143,1856,,6476,22110,167079,32430,106821,27828,""
2002,23,"MA","Massachusetts",6421800,31137,173,1777,,7169,22018,167753,33243,107922,26588,""
2003,23,"MA","Massachusetts",6420357,30377,140,1848,,8011,20378,164543,34963,104069,25511,""
2004,23,"MA","Massachusetts",6407382,29489,171,1794,,7484,20040,158150,34497,101605,22048,""
2005,23,"MA","Massachusetts",6433367,29644,178,1751,,7837,19878,151727,34728,98079,18920,""
2006,23,"MA","Massachusetts",6437193,32217,188,1771,,8080,22178,153943,35243,100725,17975,""
2007,23,"MA","Massachusetts",6449755,28487,187,1643,,7021,19636,154743,35767,103925,15051,""
2008,23,"MA","Massachusetts",6497967,30137,166,1751,,7077,21143,155919,36251,106913,12755,""
2009,23,"MA","Massachusetts",6593587,30503,173,1734,,7467,21129,153178,34515,106799,11864,""
2010,23,"MA","Massachusetts",6555466,30737,214,1784,,6897,21842,154496,37903,105124,11469,""
2011,23,"MA","Massachusetts",6607003,28232,184,1654,,6768,19626,148829,36403,101644,10782,""
2012,23,"MA","Massachusetts",6645303,27047,121,1650,,6555,18721,143325,34635,99453,9237,""
2013,23,"MA","Massachusetts",6708874,27264,138,1722,2303,6705,18118,137274,30716,97437,9121,""
2014,23,"MA","Massachusetts",6755124,26689,133,1625,2202,6077,18277,125481,24951,92226,8304,""
2015,23,"MA","Massachusetts",6784240,26453,131,1538,2082,5266,18974,114547,21826,84676,8045,""
2016,23,"MA","Massachusetts",6823721,25975,135,2128,2141,5365,18334,106430,19204,79155,8071,""
2017,23,"MA","Massachusetts",6859819,24560,173,0,2197,4871,17319,98575,17089,73946,7540,""
1995,24,"MD","Maryland",5042000,49757,596,2130,,21334,25697,267625,53320,178126,36179,""
1996,24,"MD","Maryland",5072000,47230,588,1905,,19944,24793,260231,50331,173817,36083,""
1997,24,"MD","Maryland",5094000,43127,502,1814,,17157,23654,244842,47918,166256,30668,""
1998,24,"MD","Maryland",5135000,40903,513,1714,,15339,23337,234624,47393,159019,28212,""
1999,24,"MD","Maryland",5171634,38447,465,1551,,13636,22795,215973,43230,147296,25447,""
2000,24,"MD","Maryland",5296486,41663,430,1543,,13560,26130,213422,39426,145423,28573,""
2001,24,"MD","Maryland",5386079,42088,446,1449,,13525,26668,219512,41553,145934,32025,""
2002,24,"MD","Maryland",5450525,42015,513,1370,,13417,26715,217105,39765,143320,34020,""
2003,24,"MD","Maryland",5512310,38778,525,1358,,13302,23593,209418,38641,134372,36405,""
2004,24,"MD","Maryland",5561332,38961,521,1317,,12772,24351,202474,36704,129888,35882,""
2005,24,"MD","Maryland",5589599,39369,552,1266,,14378,23173,198483,35922,128491,34070,""
2006,24,"MD","Maryland",5615727,38111,546,1178,,14376,22011,195484,37459,127502,30523,""
2007,24,"MD","Maryland",5618344,36063,554,1179,,13258,21072,192796,37095,127308,28393,""
2008,24,"MD","Maryland",5633597,35393,493,1127,,13203,20570,198165,38849,133983,25333,""
2009,24,"MD","Maryland",5699478,33625,440,1156,,12007,20022,182295,36905,125771,19619,""
