"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,98607215,1,11,8295984
2017,5,98607338,0,1,8296015
2017,5,98607913,16,1,8296110
2017,2,98609313,3,9,8296314
2017,12,98609313,5,1,8296316
2017,2,98609313,4,1,8296315
2017,5,98609478,8,1,8296333
2017,17,98609478,2,9,8296334
2017,12,98611085,2,9,8296516
2017,12,98611548,0,1,8296567
2017,12,98613315,1,1,8296841
2017,12,98613315,1,9,8296842
2017,5,98614656,1,1,8297001
2017,5,98614810,1,11,8297036
2017,12,98615635,0,1,8297124
2017,12,98616153,2,1,8297167
2017,12,98616532,1,11,8297193
2017,12,98616624,1,11,8297195
2017,12,98617503,1,5,8297274
2017,16,98617503,15,1,8297273
2017,12,98617818,2,1,8297307
2017,5,98618584,1,3,8297376
2017,12,98619800,1,9,8297528
2017,16,98621265,11,9,8297742
2017,12,98622352,1,9,8297862
2017,17,98622352,1,1,8297861
2017,5,98622472,3,1,8297872
2017,12,98622610,1,9,8297882
2017,12,98622610,2,1,8297884
2017,5,98622610,5,1,8297883
2017,17,98623102,0,1,8297965
2017,12,98624559,1,11,8298155
2017,17,98624869,1,9,8298179
2017,17,98625606,23,9,8298262
2017,5,98625919,1,11,8298297
2017,5,98630726,1,1,8298814
2017,5,98632521,0,1,8298979
2017,12,98634959,1,11,8299389
2017,5,98635444,1,1,8299465
2017,8,98636392,1,9,8299547
2017,12,98636803,0,1,8299611
2017,5,98636977,1,11,8299653
2017,5,97136159,1,1,8078869
2017,5,97138381,1,7,8079168
2017,5,97138381,0,1,8079165
2017,12,97140210,1,1,8079435
2017,5,97152872,1,1,8081114
2017,5,97155220,1,11,8081407
2017,5,97155578,0,1,8081463
2017,5,97157481,0,1,8081683
2017,16,97160872,10,9,8082097
2017,5,97161159,1,1,8082133
2017,5,97162016,2,1,8082228
2017,12,97162555,5,1,8082288
2017,12,97162555,2,9,8082286
2017,5,97162555,5,1,8082293
2017,12,97164254,4,1,8082510
2017,5,97173632,14,1,8083686
2017,5,97173768,2,1,8083698
2017,7,97176267,1,9,8084055
2017,12,97178178,2,9,8084334
2017,8,97188580,2,9,8085910
2017,5,97188580,9,1,8085911
2017,12,97188580,2,1,8085912
2017,5,97188672,0,1,8085947
2017,8,98618723,7,9,8297390
2017,12,98618759,1,1,8297392
2017,5,98619821,1,1,8297537
2017,17,98620042,1,9,8297562
2017,12,98620042,1,9,8297563
2017,5,98620259,0,3,8297592
2017,5,98620349,0,1,8297609
2017,1,98622845,1,1,8297920
2017,17,98623110,11,1,8297968
2017,5,98623144,10,1,8297978
2017,17,98623242,1,1,8298022
2017,17,98624864,1,11,8298178
2017,17,98625246,3,9,8298215
2017,12,98625246,8,1,8298212
2017,12,98625464,134,1,8298248
2017,5,98626333,4,1,8298367
2017,12,98628008,1,4,8298546
2017,5,98629601,1,1,8298695
2017,12,98629678,1,1,8298720
2017,12,98630094,1,1,8298774
2017,5,98630927,4,1,8298833
2017,5,98631045,0,1,8298847
2017,5,98631871,1,11,8298917
2017,12,98633528,2,9,8299139
2017,5,98632371,1,1,8298955
2017,12,98633506,0,1,8299130
2017,6,98634513,2,9,8299309
2017,5,98634524,3,1,8299314
2017,5,98634840,1,11,8299370
2017,12,98635398,1,1,8299454
2017,8,98635825,1,9,8299504
2017,12,98636630,1,11,8299563
2017,9,98636805,0,1,8299614
2017,12,98636805,1,9,8299616
2017,8,98636805,3,9,8299612
2017,5,98636959,3,1,8299646
2017,12,98637229,1,11,8299701
2017,5,99625553,1,1,8430460
2017,5,99625989,1,1,8430528
2017,5,99626106,13,1,8430559
2017,12,99626369,3,9,8430584
2017,12,99627005,1,9,8430654
2017,5,99627582,1,11,8430763
2017,12,99628301,2,1,8430861
2017,5,99629127,0,1,8430947
2017,12,99629172,0,1,8430955
2017,16,99629998,0,3,8431002
2017,5,99630407,1,1,8431043
2017,12,99630769,1,9,8431095
2017,5,99631145,1,11,8431127
2017,12,99632521,1,9,8431313
2017,12,99632960,52,1,8431374
2017,5,99633437,9,1,8431429
2017,5,99634225,0,1,8431507
2017,5,99634364,1,1,8431520
2017,12,99634610,1,1,8431546
2017,17,99637998,1,11,8432077
2017,17,100263972,2,9,8527223
2017,12,100264084,0,1,8527247
2017,12,100265336,0,1,8527502
2017,12,100267515,0,1,8527869
2017,12,100267687,1,9,8527909
2017,12,100269047,1,1,8528235
2017,12,100270916,1,1,8528650
2017,5,100272368,2,1,8528904
2017,5,98603783,1,1,8295420
2017,12,100274136,1,1,8529199
2017,11,100274480,10,9,8529267
2017,5,100275950,1,11,8529512
2017,5,100276923,3,1,8529648
2017,5,98605490,1,1,8295684
2017,12,98606493,2,1,8295859
2017,5,98607642,2,1,8296069
2017,17,98607966,5,9,8296126
2017,12,98609759,0,1,8296374
2017,5,98612032,1,1,8296614
2017,5,98613043,1,1,8296798
2017,12,98613244,6,9,8296825
2017,13,98622122,1,1,8297836
2017,5,98623074,1,1,8297951
2017,17,98623145,2,9,8297979
2017,17,98623262,0,9,8298027
2017,5,97794131,2,1,8174479
2017,5,97795005,25,4,8174629
2017,12,97796251,0,1,8174813
2017,12,97796773,38,9,8174881
2017,5,97797079,1,1,8174982
2017,5,97801366,1,1,8175676
2017,17,97801366,6,9,8175678
2017,5,97802735,1,11,8175961
2017,5,97803264,17,1,8176070
2017,5,97804371,1,1,8176167
2017,12,97805291,3,1,8176313
2017,5,97806574,1,1,8176499
2017,5,97807251,1,1,8176596
2017,12,97807830,1,1,8176644
2017,12,97807849,1,1,8176646
2017,16,97808277,1,1,8176672
2017,5,97809214,1,1,8176759
2017,5,97809286,1,1,8176773
2017,5,97809565,1,1,8176852
2017,5,97810091,1,4,8176901
2017,5,97810176,4,1,8176913
2017,12,97810587,1,11,8176963
2017,5,97810682,1,3,8176980
2017,5,97810869,53,1,8176989
2017,12,97811168,1,1,8177018
2017,5,97812168,11,1,8177087
2017,8,97812786,7,1,8177143
2017,5,97812786,7,1,8177144
2017,15,97813798,2,9,8177271
2017,5,97813840,1,1,8177279
2017,5,97814358,1,1,8177414
2017,12,97814358,0,1,8177415
2017,5,97815105,20,9,8177486
2017,5,97815105,20,1,8177485
2017,5,97815162,1,9,8177497
2017,5,97815531,27,1,8177533
2017,5,97815599,2,1,8177546
2017,5,97815858,1,11,8177567
2017,16,97816443,8,9,8177653
2017,4,97816462,6,1,8177664
2017,12,97817876,1,9,8177840
2017,5,97817947,1,1,8177852
2017,17,97818102,2,9,8177862
2017,12,97818303,16,5,8177907
2017,5,97818544,10,1,8178026
2017,13,97818603,484,9,8178073
2017,5,98603779,3,1,8295419
2017,5,98604972,1,1,8295600
2017,8,98605011,12,1,8295612
2017,5,98605011,1,1,8295613
2017,12,98605011,4,1,8295611
2017,5,98605667,1,11,8295726
2017,12,98606273,44,1,8295819
2017,12,98606499,1,1,8295863
2017,5,98606499,2,3,8295861
2017,12,98609863,1,9,8296384
2017,12,98612744,2,1,8296720
2017,17,98612744,4,9,8296718
2017,12,98615349,1,9,8297095
