"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101522339,25,20,,107884176
2017,101522339,22,0,,107884179
2017,101522339,61,150,,107884174
2017,101522339,3,2501,,107884173
2017,101522339,9,0,,107884177
2017,101522339,51,0,,107884180
2017,101522503,3,5000,15-OCT-17,107884426
2017,101522511,3,5000,,107884435
2017,101522729,4,105,,107884726
2017,101522793,3,750,,107884793
2017,101523410,13,400,,107885621
2017,101529055,10,,,107893024
2017,101529055,11,1,,107893027
2017,101529349,13,150,,107893455
2017,101529546,64,2375,,107893758
2017,101529592,35,500,,107893805
2017,101529593,3,30000,,107893806
2017,101529707,27,2,,107893959
2017,101529707,47,0,,107893960
2017,101529707,48,35,,107893953
2017,101529707,10,,,107893950
2017,101529707,7,15,,107893957
2017,101529707,11,60,,107893956
2017,101529707,51,0,,107893961
2017,101529707,61,10,,107893958
2017,101529739,10,60,,107894001
2017,101530227,11,3,,107894621
2017,101530227,10,,,107894618
2017,101530276,10,,,107894678
2017,101530300,10,,,107894710
2017,101530447,63,40,,107894905
2017,101530693,61,4642,,107895220
2017,101530693,52,0,,107895221
2017,101530833,47,0,,107895403
2017,101531127,20,125,,107895796
2017,101531276,12,1000,,107895985
2017,101531626,10,,,107896405
2017,101531841,61,100,,107896690
2017,101532062,20,300,,107896983
2017,101532161,38,23,,107897113
2017,101532281,63,200,,107897276
2017,101532271,30,200,,107897266
2017,101532842,63,172,,107897910
2017,101532929,4,120,,107898026
2017,101532986,27,100,,107898118
2017,101533148,25,50,,107898337
2017,101533466,54,800,16-OCT-17,107898725
2017,101533472,54,800,,107898733
2017,101533795,63,2500,,107899137
2017,101533903,4,89,,107899276
2017,101534314,19,2227,,107899820
2017,101534866,20,600,,107900549
2017,101534866,63,830,,107900543
2017,101534866,25,50,,107900555
2017,101534866,9,0,,107900560
2017,101534866,38,30,,107900558
2017,101534909,20,250,,107900626
2017,101535373,51,0,,107901287
2017,101535373,61,300,,107901279
2017,101535373,19,72,,107901283
2017,101535783,63,20,,107901841
2017,101536099,36,1157,17-NOV-17,107902250
2017,101536100,36,1332,,107902254
2017,101537783,25,15,,107904436
2017,101537783,51,0,,107904440
2017,101537783,20,150,,107904434
2017,101537821,8,15,,107904485
2017,101537889,45,200,,107904565
2017,101537889,13,4900,,107904559
2017,101537889,36,200,,107904562
2017,101538101,63,200,,107904859
2017,101538101,31,300,,107904857
